date,custom_v2_ret,custom_v2_position,custom_v2_ret_5,custom_v2_ret_20,custom_v2_ret_60,flowchart_ret,flowchart_position,flowchart_ret_5,flowchart_ret_20,flowchart_ret_60,optimized_ret,optimized_position,optimized_ret_5,optimized_ret_20,optimized_ret_60,regime_ret,regime_position,regime_ret_5,regime_ret_20,regime_ret_60,regime_tp_ret,regime_tp_position,regime_tp_ret_5,regime_tp_ret_20,regime_tp_ret_60,official_v1_ret,official_v1_position,official_v1_ret_5,official_v1_ret_20,official_v1_ret_60,enhanced_ret,enhanced_position,enhanced_ret_5,enhanced_ret_20,enhanced_ret_60,pullback_add_vol_ret,pullback_add_vol_position,pullback_add_vol_ret_5,pullback_add_vol_ret_20,pullback_add_vol_ret_60
2023-12-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.016203745589432828,1.0,0.03910332929975402,0.06625635826976917,0.06625635826976917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 08:00:00,0.0,0.0,0.0,0.0,0.0,-0.0037659921118935458,0.0,0.035337337187860474,0.06249036615787562,0.06249036615787562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03211165016743278,0.06249036615787562,0.06249036615787562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02037136646313109,0.06249036615787562,0.06249036615787562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 20:00:00,0.0,0.0,0.0,0.0,0.0,0.003700389279162497,1.0,0.01613814275670178,0.06619075543703812,0.06619075543703812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-05 00:00:00,0.0,0.0,0.0,0.0,0.0,-0.005438731794737306,1.0,-0.005504334627468355,0.06075202364230081,0.06075202364230081,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.023023015292244153,0.023023015292244153,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
2023-12-05 04:00:00,0.0,0.0,0.0,0.0,0.0,-0.013707042228268351,1.0,-0.01544538474384316,0.04704498141403246,0.04704498141403246,-0.013707042228268351,1.0,-0.013707042228268351,-0.013707042228268351,-0.013707042228268351,-0.013707042228268351,1.0,-0.013707042228268351,-0.013707042228268351,-0.013707042228268351,-0.013707042228268018,1.0,-0.013707042228268018,0.009315973063976135,0.009315973063976135,-0.005482816891307363,0.6000000000000001,-0.005482816891307363,-0.005482816891307363,-0.005482816891307363,-0.006853521114134176,0.5,-0.006853521114134176,-0.006853521114134176,-0.006853521114134176,-0.005482816891307363,0.4,-0.005482816891307363,-0.005482816891307363,-0.005482816891307363
2023-12-05 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0019632883261604395,0.0,-0.01348209641768272,0.0490082697401929,0.0490082697401929,0.0019632883261604395,1.0,-0.011743753902107912,-0.011743753902107912,-0.011743753902107912,0.0019632883261604395,1.0,-0.011743753902107912,-0.011743753902107912,-0.011743753902107912,0.0019632883261604395,1.0,-0.011743753902107579,0.011279261390136575,0.011279261390136575,0.0011779729956962193,0.6000000000000001,-0.0043048438956111434,-0.0043048438956111434,-0.0043048438956111434,0.0009816441630801087,0.5,-0.005871876951054067,-0.005871876951054067,-0.005871876951054067,0.0007853153304642202,0.4,-0.0046975015608431425,-0.0046975015608431425,-0.0046975015608431425
2023-12-05 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01348209641768272,0.0490082697401929,0.0490082697401929,0.010767856089916483,1.0,-0.0009758978121914286,-0.0009758978121914286,-0.0009758978121914286,0.010767856089916483,1.0,-0.0009758978121914286,-0.0009758978121914286,-0.0009758978121914286,0.010767856089916483,1.0,-0.0009758978121910955,0.022047117480053058,0.022047117480053058,0.0064607136539498455,0.6000000000000001,0.002155869758338702,0.002155869758338702,0.002155869758338702,0.005383928044958575,0.5,-0.00048794890609549224,-0.00048794890609549224,-0.00048794890609549224,0.004307142435966638,0.4,-0.0003903591248765048,-0.0003903591248765048,-0.0003903591248765048
2023-12-05 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.017182485696845218,0.0490082697401929,0.0490082697401929,0.01990621283852012,1.0,0.018930315026328692,0.018930315026328692,0.018930315026328692,0.01990621283852012,1.0,0.018930315026328692,0.018930315026328692,0.018930315026328692,0.0199062128385199,1.0,0.018930315026328803,0.04195333031857296,0.04195333031857296,0.011943727703112028,0.6000000000000001,0.01409959746145073,0.01409959746145073,0.01409959746145073,0.00995310641925995,0.5,0.009465157513164457,0.009465157513164457,0.009465157513164457,0.007962485135408315,0.4,0.00757212601053181,0.00757212601053181,0.00757212601053181
