instrument,datetime,custom_v2_ret,custom_v2_position,custom_v2_ret_5,custom_v2_ret_20,custom_v2_ret_60,flowchart_ret,flowchart_position,flowchart_ret_5,flowchart_ret_20,flowchart_ret_60,optimized_ret,optimized_position,optimized_ret_5,optimized_ret_20,optimized_ret_60,regime_ret,regime_position,regime_ret_5,regime_ret_20,regime_ret_60,regime_tp_ret,regime_tp_position,regime_tp_ret_5,regime_tp_ret_20,regime_tp_ret_60,official_v1_ret,official_v1_position,official_v1_ret_5,official_v1_ret_20,official_v1_ret_60,enhanced_ret,enhanced_position,enhanced_ret_5,enhanced_ret_20,enhanced_ret_60,pullback_add_vol_ret,pullback_add_vol_position,pullback_add_vol_ret_5,pullback_add_vol_ret_20,pullback_add_vol_ret_60
ETH4H,2023-12-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETH4H,2023-12-02 12:00:00,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,1.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.75,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0025010123145081,0.0,0.0025010123145081,0.0025010123145081,0.0025010123145081
ETH4H,2023-12-02 16:00:00,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,1.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.4,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794,0.0259076221250713,0.0,0.0284086344395794,0.0284086344395794,0.0284086344395794
ETH4H,2023-12-02 20:00:00,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,1.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109,0.0027282159598316,0.0,0.0311368503994109,0.0311368503994109,0.0311368503994109
ETH4H,2023-12-03 00:00:00,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233,-0.0014828091148877,0.0,0.0296540412845233,0.0296540412845233,0.0296540412845233
ETH4H,2023-12-03 04:00:00,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064,0.0016654330125831,0.0,0.0313194742971064,0.0313194742971064,0.0313194742971064
ETH4H,2023-12-03 08:00:00,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141,-0.0026787363753923,0.0,0.026139725607206,0.0286407379217141,0.0286407379217141
ETH4H,2023-12-03 12:00:00,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,1.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495,0.0006390664073354,0.0,0.0008711698894701,0.0292798043290495,0.0292798043290495
ETH4H,2023-12-03 16:00:00,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,1.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771,0.0032256870204276,0.0,0.0013686409500661,0.0325054913494771,0.0325054913494771
ETH4H,2023-12-03 20:00:00,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,1.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787,0.0117402837043016,0.0,0.0145917337692554,0.0442457750537787,0.0442457750537787
