date,open,high,low,close,volume,ma20,ma60,ma_cross,momentum_12,macd,macd_signal,macd_hist,trend_strength,atr_14,bb_width_20,bb_pos_20,rel_volume_20,price_position_20,channel_range_20,rsi_14,log_return,trend_score,trend_label,vol_score,vol_label,exhaustion_score,exhaustion_label,volume_score,volume_label,ret,bb_mid,bb_upper,bb_lower,bb_lower_slope,bb_upper_slope,+di,-di,adx,price_percentile_20,volume_ma_20,volume_ratio_ma_20,ma_5,ma_20,ma_60,buy_stars,sell_stars,above_ma20,stood_above_ma20_3d,ma5_below_ma20,ma5_cross_below_ma20,position,buy_hold_equity,strategy_equity
2023-12-02 08:00:00,2095.89,2107.2,2095.89,2099.15,8255.299927,2064.0465,2061.1506666666664,1,0.0264691787855375,13.314842350631809,8.84448330581676,4.470359044815046,0.0091873233207053,21.618571428571418,0.0506263575936015,0.8303164971029209,0.454974433291656,0.8660714285714303,0.044284591382226,,0.0016878204428274,1.0,up,0.0,normal,1.0,overbought,-0.545025566708344,low,0.0,,,,,,0.0,0.0,,,,,,,,0,0,False,False,False,False,0.0,1.0,1.0
2023-12-02 12:00:00,2099.09,2109.34,2093.33,2104.4,12989.869642,2066.3865,2062.3306666666667,1,0.0349576062793854,14.178820531375097,9.911350750928428,4.267469780446668,0.0068947698314347,21.868571428571435,0.0532088316347505,0.839489105674249,0.7122125863343283,0.9225473321858882,0.044174111385668,,0.0024978899881104,1.0,up,0.0,normal,1.0,overbought,-0.2877874136656717,normal,0.0025010123145081664,,,,,,0.0,1.5701668302256824,100.0,,,,,,,1,0,False,False,False,False,0.0,1.0025010123145082,1.0
2023-12-02 16:00:00,2104.11,2195.55,2097.43,2158.92,85219.03803,2071.699,2063.695833333333,1,0.0575424330745304,19.043318302255106,11.737744261193765,7.305574041061339,0.0342577644066093,27.014285714285734,0.0640392171554909,1.1308679982902945,3.957054304838729,0.7929455655418004,0.0819437496526041,,0.0255777057798763,1.0,up,0.0,normal,1.0,overbought,2.957054304838729,high,0.02590762212507136,,,,,,34.551127905645274,0.9527081186304622,99.61665787406383,,,,,,,0,1,False,False,False,False,0.0,1.0284734297215539,1.0
2023-12-02 20:00:00,2158.92,2176.4,2152.77,2164.81,23998.936498,2078.3735,2065.3883333333333,1,0.0549602101333799,23.10737418197823,14.011670245350658,9.095703936627572,0.0342700709003001,26.73857142857145,0.0719966380413574,1.0545812350170638,1.125078166264719,0.8262393307331399,0.0817207976681556,,0.0027245011337013,1.0,up,0.0,normal,1.0,overbought,0.1250781662647189,normal,0.002728215959831637,,,,,,31.35342588825469,0.8645351165435675,99.26069732855167,,,,,,,0,1,False,False,False,False,0.0,1.031279327346783,1.0
2023-12-03 00:00:00,2164.85,2177.4,2155.56,2161.6,16027.263347,2084.5085,2067.0893333333333,1,0.0331560105724513,25.77206327085605,16.363748850451735,9.408314420404317,0.0314896378620066,27.18357142857145,0.077658183567076,0.9592444707770332,0.7449688800946709,0.8066078040444304,0.0812129903774982,,-0.0014839095642954,1.0,up,0.0,normal,1.0,overbought,-0.2550311199053291,normal,-0.0014828091148877398,,,,,,29.095012026927925,0.7916125372806443,98.9351163130075,,,,2137.7760000000003,,,0,1,False,False,False,False,0.0,1.029750136960198,1.0
2023-12-03 04:00:00,2161.79,2165.51,2153.01,2165.2,10061.472536,2091.3280000000004,2068.7496666666666,1,0.0346887379874891,27.85326340292977,18.661651760947343,9.191611641982426,0.0314651168330037,26.98928571428574,0.080349194070088,0.924619870745141,0.4660811082536536,0.826521863389538,0.0808008498060226,,0.0016640477168882,1.0,up,0.0,normal,1.0,overbought,-0.5339188917463464,low,0.0016654330125831507,,,,,,27.657113316990774,1.7606746916627758,98.15616968267922,,,,2150.986,,,0,1,False,False,False,False,0.0,1.0314651168330036,1.0
2023-12-03 08:00:00,2165.1,2168.53,2157.0,2159.4,8089.70361,2097.26,2070.364833333333,1,0.0316952213505585,28.703739137142293,20.670069236186336,8.033669900955957,0.0261357156434138,24.352142857142912,0.0820893194099188,0.8505512312798579,0.3788819020552595,0.7933695341526148,0.0810178753357415,,-0.0026823306097826,1.0,up,0.0,normal,1.0,overbought,-0.6211180979447405,low,-0.0026787363753923987,,,,,,27.588578575757932,1.6782838126264106,97.46866947798031,,,,2161.986,,,0,1,False,False,False,False,0.0,1.0287020937045945,1.0
2023-12-03 12:00:00,2159.4,2166.06,2150.0,2160.78,32417.776105,2103.5055,2072.344333333333,1,0.0388165612199766,29.15304361110248,22.36666411116957,6.7863794999329095,0.0008615418820521,23.86428571428577,0.0814698317844466,0.8253523406876425,1.4659487543065426,0.80125750214347,0.0809661326002648,,0.0006388622913567,1.0,up,0.0,normal,1.0,overbought,0.4659487543065426,normal,0.0006390664073354646,,,,,,25.779040676075663,4.427051624512771,95.55574241143012,,,,2162.3579999999997,,,0,1,False,False,False,False,0.0,1.0293595026558369,1.0
2023-12-03 16:00:00,2160.82,2168.83,2152.0,2167.75,15267.673305,2109.6420000000003,2074.106333333333,1,0.0372059196455487,29.728845764648213,23.83910044186529,5.889745322782918,0.0013580868528877,23.26928571428578,0.0811567448708477,0.8302950867323745,0.6839718648829144,0.8370839193623995,0.0787175642947757,,0.003220495652873,1.0,up,0.0,normal,1.0,overbought,-0.3160281351170856,low,0.003225687020427692,,,,,,25.136678512426904,4.121937037916818,93.86062611752062,,,,2162.946,,,0,1,False,False,False,False,0.0,1.0326798942429076,1.0
2023-12-03 20:00:00,2167.75,2220.0,2165.15,2193.2,42048.534837,2117.636,2076.2923333333333,1,0.0506800293186293,31.871381973099687,25.44555674811217,6.425825224987513,0.0146188008882308,25.46428571428578,0.0800826412770109,0.9302276453047604,1.7933677639856802,0.859993731062584,0.0872788619368959,,0.0116719012726235,1.0,up,0.0,normal,1.0,overbought,0.7933677639856802,high,0.01174028370430169,,,,,,38.41163296078262,3.3190724306817705,93.16293142495921,,,,2169.2660000000005,,,0,1,False,False,False,False,0.0,1.0448038491770477,1.0
