date,datetime,open,high,low,close,volume,funding_rate,open_interest,ma_5,ma_20,ma_60,ma_cross,momentum_12,macd,macd_signal,macd_hist,atr_14,bb_mid,bb_upper,bb_lower,bb_width_20,bb_pos_20,rsi_14,volume_ma_20,rel_volume_20,price_position_20,log_return,ret,volatility_20,funding_rate_zscore,oi_change,oi_rsi,instrument
2025-04-02 16:00:00+00:00,2025-04-02 16:00:00+00:00,86755.0,87328.5,86174.0,86896.0,1338.77938917,,2316714.890000002,85437.73999999999,83737.86,,1,0.05379961362944563,510.1284196306224,56.15002146588614,453.97839816473623,1174.5313449813084,83737.86,86748.52292925661,80727.1970707434,0.07190685143510013,1.0244924580082115,55.153360878578766,1310.2315353279998,1.0217884038601266,1.0,0.001653917142157715,0.001655285617458535,0.00897037054250097,,0.0832722185690471,60.56559282721274,BTC
2025-04-02 20:00:00+00:00,2025-04-02 20:00:00+00:00,86896.1,88500.0,82320.1,82513.2,6457.99497426,,2296554.68,85030.4,83726.76,,1,-0.000529331891095719,283.08818711177446,101.53765459506381,181.55053251671063,1532.0576774826432,83726.76,86753.72075983815,80699.79924016184,0.07230569437628198,0.2995415044519963,36.119461548805475,1598.4625546510001,4.040129032406395,0.3,-0.05175372075048908,-0.05043730436383731,0.014783827847342664,,-0.008702067780123723,58.541673266407116,BTC
2025-04-03 00:00:00+00:00,2025-04-03 00:00:00+00:00,82514.1,83937.3,82169.7,83483.7,2011.09728015,,2138743.280000002,84843.02,83773.45,,1,0.006253246854995398,179.4003902709519,117.11020173024144,62.29018854071046,1548.8821290910262,83773.45,86754.8234013035,80792.0765986965,0.07117704717433744,0.4514066235592433,40.97689034062698,1593.7281292355,1.2618822766933961,0.55,0.011693122678100878,0.011761754482919162,0.015003496498775493,,-0.0687165872314427,45.674825181682934,BTC
2025-04-03 04:00:00+00:00,2025-04-03 04:00:00+00:00,83484.0,83742.0,83001.4,83456.1,1065.08244649,,2071469.5100000016,84620.28,83826.345,,1,4.0741641672559226e-05,93.91735411051195,112.47163220629555,-18.5542780957836,1491.1476912988103,83826.345,86745.12480085857,80907.56519914143,0.06963872278717548,0.4365753799085689,40.8816842177487,1614.360869349,0.6597548706191697,0.5,-0.00033065812048969857,-0.0003306034591182838,0.01499401320383064,,-0.031454813033942264,41.48855348014327,BTC
2025-04-03 08:00:00+00:00,2025-04-03 08:00:00+00:00,83457.9,83791.1,83041.5,83093.1,929.09330921,,2084564.6400000015,83888.42000000001,83904.23,,0,-0.00989354578103352,-3.0840828141517704,89.3604892022061,-92.44457201635787,1438.1799990631816,83904.23,86652.4758187724,81155.9841812276,0.06550911244337496,0.3524276841504828,39.57919230431482,1607.2027244285,0.578080969555582,0.35,-0.004359079176571809,-0.004349592180799222,0.01481437238638888,,0.006321661958712532,42.59155231426086,BTC
2025-04-03 12:00:00+00:00,2025-04-03 12:00:00+00:00,83093.0,83142.0,81203.0,82046.1,3487.96285952,,2103289.250000002,82918.44,83909.47,,0,-0.03799767373145668,-162.56858088546142,38.9746751846726,-201.54325607013402,1473.9528562729545,83909.47,86643.08588969627,81175.85411030373,0.06515631405361691,0.15917486669880482,36.01505012856395,1738.4967936135,2.006309630442401,0.05,-0.012680381509308093,-0.012600324214645964,0.015088156531311632,,0.008982503895873517,44.2110127637759,BTC
2025-04-03 16:00:00+00:00,2025-04-03 16:00:00+00:00,82046.1,82469.6,81543.7,82016.1,2213.87361075,,2164344.8599999994,82819.02,83900.055,,0,-0.034746994474422754,-288.0613519568724,-26.4325302436364,-261.628821713236,1434.8062236820297,83900.055,86658.28242243998,81141.82757756,0.06575031261755403,0.15848447001273747,35.915251113217536,1800.594689472,1.2295235700151868,0.05,-0.0003657149585263071,-0.00036564809296235623,0.01507145351121355,,0.029028632176956837,49.239295190971525,BTC
2025-04-03 20:00:00+00:00,2025-04-03 20:00:00+00:00,82016.0,83331.4,81798.8,83216.3,1015.3156039,,2149453.53,82765.54000000001,83889.72,,0,-0.022918178381132748,-287.35669850048725,-78.61736389500658,-208.73933460548068,1441.791493419027,83889.72,86656.55558427311,81122.88441572689,0.0659636385548339,0.3783050203944598,42.750171691769744,1736.4345438025,0.5847128574605694,0.4,0.014527672644960025,0.014633712161392642,0.015061655163187164,,-0.0068802944831997115,48.10058260999126,BTC
2025-04-04 00:00:00+00:00,2025-04-04 00:00:00+00:00,83216.4,83416.9,82590.1,82816.6,881.83796167,,2151686.6199999987,82637.64000000001,83907.565,,0,-0.020500319929414368,-315.41479965575854,-125.97685104715697,-189.43794860860157,1397.8635296033813,83907.565,86641.68848680521,81173.44151319479,0.06516989229291095,0.3004909059036732,41.175175689815575,1743.1842816524997,0.5058776464150063,0.25,-0.004814717711213267,-0.004803145537592979,0.014864066870157107,,0.0010389105737023119,48.2936919336033,BTC
2025-04-04 04:00:00+00:00,2025-04-04 04:00:00+00:00,82816.6,84026.4,82618.1,83999.7,1354.15202189,,2146215.249999997,82818.95999999999,83979.705,,0,-0.004985749923596905,-239.42482421152818,-148.66644568003122,-90.75837853149696,1398.6089917745674,83979.705,86642.68323984725,81316.72676015276,0.06341956642613225,0.5037542552358862,47.35747839824418,1786.2539616085,0.7580960216153153,0.6,0.014184703019412414,0.014285783284993414,0.015189179926491329,,-0.0025428284719275496,47.82416265776933,BTC
2025-04-04 08:00:00+00:00,2025-04-04 08:00:00+00:00,83999.8,84725.0,81667.0,82682.0,3543.698463,,2146626.28,82946.14,83965.56,,0,-0.022322389316280833,-282.2757001545251,-175.38829657493,-106.88740357959512,1517.1369209335269,83965.56,86652.84386993259,81278.2761300674,0.06400919305326123,0.261178933427641,42.055995989296775,1923.3176029285,1.8424926063195493,0.2,-0.015811303240530705,-0.01568696078676468,0.015600686485563033,,0.0001915138754151613,47.86517006864597,BTC
2025-04-04 12:00:00+00:00,2025-04-04 12:00:00+00:00,82682.0,83700.0,81840.6,82860.1,4559.28202783,,2167586.570000001,83114.94,83935.93000000001,,0,-0.04486677025649999,-298.4240992533887,-199.99545711062174,-98.42864214276696,1541.5842837239888,83935.93000000001,86658.02223510151,81213.8377648985,0.06486119198539894,0.30238913543649903,42.985025997934734,2118.9045263975,2.151716592715746,0.3,0.0021517193356296394,0.002154035944945676,0.015548270900280992,,0.009764293950599301,50.02230634431559,BTC
2025-04-04 16:00:00+00:00,2025-04-04 16:00:00+00:00,82862.0,84613.2,82736.8,84000.2,2404.9103312,,2104726.479999999,83271.72,83939.77,,0,-0.0333248941263119,-216.72698630517698,-203.3417629495328,-13.385223355644172,1565.499692029418,83939.77,86661.99737485316,81217.54262514685,0.0648614446966714,0.5110993667461838,48.659728644290176,2154.1158529625,1.116425714936636,0.6,0.01366553628939657,0.013759336520231091,0.015813596418824884,,-0.029000036662896522,44.12568217313567,BTC
2025-04-04 20:00:00+00:00,2025-04-04 20:00:00+00:00,84000.1,84460.0,83479.7,83889.0,864.7377322,,2109482.100000002,83486.2,83869.88,,0,0.016673695845028425,-159.12010879525042,-194.49743211867633,35.37732332342591,1523.6997140273168,83869.88,86521.03087959926,81218.72912040075,0.06322057166647325,0.5036059811131696,48.156281767832674,2037.3276901790002,0.42444705207144356,0.55,-0.0013246833776206469,-0.0013238063718895576,0.015354692331761536,,0.0022594954951120627,44.65719982944466,BTC
2025-04-05 00:00:00+00:00,2025-04-05 00:00:00+00:00,83889.1,84268.7,83421.0,83630.8,579.8287146,,2136817.4900000016,83412.42000000001,83802.99500000001,,0,0.0017620206100112945,-132.77033172856318,-182.15201204065372,49.38168031209054,1475.4140201682226,83802.99500000001,86406.98141353982,81199.0085864602,0.062145426032561464,0.4669362714212613,46.94183041718925,2004.19934229,0.28930690793336317,0.55,-0.0030826231223233923,-0.003077876718044048,0.015348615608468686,,0.012958341765497705,47.7348581851173,BTC
2025-04-05 04:00:00+00:00,2025-04-05 04:00:00+00:00,83630.0,83866.6,83331.9,83527.7,418.48243463,,2189822.9500000034,83581.56000000001,83720.97,,0,0.0008579360885543341,-118.83736870790017,-169.48908337410302,50.65171466620285,1408.220161584779,83720.97,86250.04757263392,81191.89242736608,0.060416824426040926,0.4617904167726413,46.43822556855259,1974.4513233639998,0.21194872199584264,0.55,-0.0012335599215557462,-0.0012327993992644615,0.015332293396449566,,0.024805796586774287,53.172832863095174,BTC
2025-04-05 08:00:00+00:00,2025-04-05 08:00:00+00:00,83527.7,83915.4,83353.5,83469.0,1157.56796312,,2170316.050000001,83703.34,83666.925,,1,0.00452384132978545,-111.24957866370096,-157.8411824320226,46.59160376832165,1347.76872147158,83666.925,86168.88877022128,81164.96122977872,0.05980771422449859,0.46044606993200027,46.13475108313013,1984.1307521555002,0.5834131454605261,0.5,-0.0007030079327023508,-0.0007027608805222352,0.015258138031749054,,-0.00890798043741492,51.06702874418893,BTC
2025-04-05 12:00:00+00:00,2025-04-05 12:00:00+00:00,83468.9,83566.9,82383.0,82620.5,1248.77630413,,2209124.7600000016,83427.4,83576.92000000001,,0,0.007000942153252865,-171.72353713432676,-160.61765337248346,-11.105883761843302,1336.063812795038,83576.92000000001,86093.42848645498,81060.41151354504,0.060220177686733885,0.30997083754179383,41.87486116987441,2003.6385052804999,0.6232542950431955,0.2,-0.010217471684914155,-0.010165450646347773,0.015409338144450209,,0.017881593789070616,54.89426741225537,BTC
2025-04-05 16:00:00+00:00,2025-04-05 16:00:00+00:00,82620.1,83149.5,82609.4,82862.4,273.7432729,,2216977.520000002,83222.08,83491.55,,0,0.010318705717535792,-197.84958964397083,-168.06404062678092,-29.785549017189908,1279.2092547382501,83491.55,85983.25793673735,80999.84206326265,0.05968766747622608,0.3737512549677433,43.47722945478589,1977.664853689,0.1384174231490124,0.4,0.0029235669945131305,0.00292784478428465,0.015422338272662789,,0.0035546928549206047,55.65014927006676,BTC
2025-04-05 20:00:00+00:00,2025-04-05 20:00:00+00:00,82862.4,83684.1,82820.1,83534.2,284.06045551,,2187135.71,83202.76,83330.63999999998,,0,0.0038201650397817755,-162.4731397339492,-166.9458604482146,4.472720714265392,1249.5514508283752,83330.63999999998,85325.32683998262,81335.95316001735,0.04787403144827964,0.5510255534652708,47.78252545384604,1804.5138578065003,0.1574166107293259,0.75,0.008074728091540901,0.008107416632875841,0.014273822363468124,,-0.013460583037396723,52.07850490769878,BTC
2025-04-06 00:00:00+00:00,2025-04-06 00:00:00+00:00,83539.6,83793.7,83160.8,83346.0,467.08510217,,2153621.120000001,83166.42,83153.13999999998,,1,0.006392438230982567,-147.9181075852539,-163.14030987562245,15.222202290368557,1205.504918626348,83153.13999999998,84297.88424637116,82008.3957536288,0.027533397929920097,0.5842371562955562,46.709164056524315,1760.9291434564998,0.26524923158075864,0.55,-0.002255511196490618,-0.002252969442455899,0.014250913533669972,,-0.015323507291643557,48.327163316196945,BTC
2025-04-06 04:00:00+00:00,2025-04-06 04:00:00+00:00,83345.9,83530.0,83025.1,83028.1,365.12381817,,2156286.4700000025,83078.23999999999,83178.885,,0,-0.011566707976337853,-160.1884600888443,-162.54993991826683,2.361479829422535,1155.4617101530368,83178.885,84287.49247295872,82070.27752704127,0.026655983016813156,0.4319935127274744,44.87541078522213,1456.285585652,0.2507226753923605,0.4,-0.00382151292638895,-0.0038142202385236246,0.008601449854228957,,0.0012376132344027457,48.64399191876543,BTC
2025-04-06 08:00:00+00:00,2025-04-06 08:00:00+00:00,83028.0,83168.0,82652.0,82843.6,651.92684848,,2181350.9800000014,83122.86,83146.88,,0,0.0019544761858687476,-182.69442333139887,-166.57883660089325,-16.115586730505612,1109.7858737135343,83146.88,84255.398839894,82038.36116010601,0.026664111507106306,0.3632048508850778,43.8006546468912,1388.3270640685,0.46957728142929434,0.3,-0.0022246118667536264,-0.002222139251650934,0.008182836617556801,,0.011623923977039485,51.6464704753679,BTC
2025-04-06 12:00:00+00:00,2025-04-06 12:00:00+00:00,82842.5,83000.0,82216.0,82547.6,2094.19142547,,2202998.600000001,83059.9,83101.45499999999,,0,-0.003771417123561327,-221.85784839799453,-177.6346389603135,-44.22320943768102,1086.5154541625677,83101.45499999999,84229.84509119182,81973.06490880816,0.027156927425442356,0.254581769051611,42.060237929695475,1439.7825130175,1.4545192808884644,0.15,-0.00357939619557956,-0.003572997793432453,0.00821442781035611,,0.009923950890287081,54.14023858693661,BTC
2025-04-06 16:00:00+00:00,2025-04-06 16:00:00+00:00,82547.6,82565.8,78688.7,79614.4,4010.95328975,,2197841.8000000026,82275.94,82927.52,,0,-0.05221178044814179,-484.0006133544666,-238.90783383914413,-245.0927795153225,1285.8429217223847,82927.52,84820.70441109153,81034.33558890848,0.04565877313325,-0.37501248705344337,29.53584481477222,1593.8755120445,2.5164783946050213,0.05,-0.036180115642884675,-0.035533437677170654,0.011343945614367294,,-0.0023408094766825815,53.43327909600482,BTC
2025-04-06 20:00:00+00:00,2025-04-06 20:00:00+00:00,79614.5,79891.3,77142.8,78426.0,4444.30880424,,2216003.4000000013,81291.94,82746.515,83351.955,0,-0.0651217680506383,-778.6685846069013,-346.85998399269556,-431.8086006142057,1390.318427313643,82746.515,85457.68673803136,80035.34326196864,0.06552956914333767,-0.2967984726665106,26.139665298406285,1641.6928092805,2.7071500704128657,0.05,-0.015039475980230638,-0.014926947888824094,0.011468812534713808,,0.008263379102171342,55.630710562367724,BTC
2025-04-07 00:00:00+00:00,2025-04-07 00:00:00+00:00,78427.1,79340.0,77350.0,77689.0,2171.54186744,,2256440.9100000006,80224.12000000001,82530.16,83200.20833333333,0,-0.0710479871052292,-1059.4521109772759,-489.37840938961165,-570.0737015876642,1433.1528253626686,82530.16,86019.02867474259,79041.29132525742,0.08454772594025219,-0.1938008350740226,24.27544206509785,1639.5762221149998,1.3244531349928834,0.05,-0.00944182782143657,-0.009397393721469971,0.01157053297108968,,0.01824794582896372,60.14078216238294,BTC
