date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-03-28 00:00:00+00:00,2025-03-28 00:00:00+00:00,0.19048,0.1929,0.18759,0.1894,67212433.960373,,712379.77
2025-03-28 04:00:00+00:00,2025-03-28 04:00:00+00:00,0.18941,0.1899,0.18124,0.18158,144603363.591125,,714245.7500000002
2025-03-28 08:00:00+00:00,2025-03-28 08:00:00+00:00,0.18157,0.18284,0.17885,0.18183,134902438.039259,,707024.0199999999
2025-03-28 12:00:00+00:00,2025-03-28 12:00:00+00:00,0.18183,0.18266,0.17791,0.17948,145153762.691672,,726183.92
2025-03-28 16:00:00+00:00,2025-03-28 16:00:00+00:00,0.17953,0.18135,0.17843,0.17858,59872768.424822,,720615.2100000003
2025-03-28 20:00:00+00:00,2025-03-28 20:00:00+00:00,0.17857,0.18155,0.17719,0.18024,57394857.662968,,716794.8500000003
2025-03-29 00:00:00+00:00,2025-03-29 00:00:00+00:00,0.18025,0.18257,0.17507,0.17871,71429527.417138,,716257.0800000001
2025-03-29 04:00:00+00:00,2025-03-29 04:00:00+00:00,0.1787,0.17975,0.17371,0.17473,75436384.722975,,697444.77
2025-03-29 08:00:00+00:00,2025-03-29 08:00:00+00:00,0.17476,0.17554,0.16842,0.16992,120615346.191917,,694973.76
2025-03-29 12:00:00+00:00,2025-03-29 12:00:00+00:00,0.16994,0.17269,0.16949,0.16984,95477916.04058,,722213.4600000001
2025-03-29 16:00:00+00:00,2025-03-29 16:00:00+00:00,0.16987,0.17059,0.16581,0.16934,110899510.004977,,717594.2999999999
2025-03-29 20:00:00+00:00,2025-03-29 20:00:00+00:00,0.1694,0.16984,0.16692,0.16956,29712523.948572,,703146.5399999998
2025-03-30 00:00:00+00:00,2025-03-30 00:00:00+00:00,0.16958,0.17243,0.16785,0.17075,72162809.759505,,708174.3799999999
2025-03-30 04:00:00+00:00,2025-03-30 04:00:00+00:00,0.17074,0.1722,0.16993,0.17048,30258860.858777,,718913.55
2025-03-30 08:00:00+00:00,2025-03-30 08:00:00+00:00,0.17049,0.17211,0.16902,0.16972,50187754.357501,,715853.3700000001
2025-03-30 12:00:00+00:00,2025-03-30 12:00:00+00:00,0.16974,0.17095,0.16755,0.16859,55872022.697093,,712055.05
2025-03-30 16:00:00+00:00,2025-03-30 16:00:00+00:00,0.1686,0.17122,0.16608,0.16934,81482405.436744,,717648.5700000001
2025-03-30 20:00:00+00:00,2025-03-30 20:00:00+00:00,0.16935,0.1696,0.16446,0.16653,87184339.13077,,698073.2200000003
