date,datetime,open,high,low,close,volume,funding_rate,open_interest
2025-06-26 00:00:00+00:00,2025-06-26 00:00:00+00:00,2418.55,2520.48,2416.82,2489.05,54454.93293,,6240117.410000009
2025-06-26 04:00:00+00:00,2025-06-26 04:00:00+00:00,2489.19,2500.24,2467.08,2489.89,28591.652461,,6506687.510000008
2025-06-26 08:00:00+00:00,2025-06-26 08:00:00+00:00,2489.89,2500.35,2439.24,2450.65,34678.250513,,6670727.600000016
2025-06-26 12:00:00+00:00,2025-06-26 12:00:00+00:00,2450.86,2459.98,2409.94,2433.53,45901.752388,,6718460.4900000105
2025-06-26 16:00:00+00:00,2025-06-26 16:00:00+00:00,2433.19,2443.32,2418.13,2436.22,16222.87611,,6583579.890000008
2025-06-26 20:00:00+00:00,2025-06-26 20:00:00+00:00,2435.84,2458.62,2394.11,2416.35,27255.221752,,6455432.09000001
2025-06-27 00:00:00+00:00,2025-06-27 00:00:00+00:00,2416.08,2448.55,2382.27,2446.69,25064.423918,,6355441.410000009
2025-06-27 04:00:00+00:00,2025-06-27 04:00:00+00:00,2446.58,2459.32,2434.32,2442.09,26999.237352,,6558032.390000007
2025-06-27 08:00:00+00:00,2025-06-27 08:00:00+00:00,2442.09,2464.23,2435.51,2447.51,17927.423174,,6601464.590000008
2025-06-27 12:00:00+00:00,2025-06-27 12:00:00+00:00,2447.51,2457.4,2413.95,2438.52,30294.018992,,6558917.480000013
2025-06-27 16:00:00+00:00,2025-06-27 16:00:00+00:00,2438.6,2449.56,2388.0,2412.68,33194.826908,,6364418.69000001
2025-06-27 20:00:00+00:00,2025-06-27 20:00:00+00:00,2412.66,2429.7,2411.34,2423.27,8264.626163,,6373968.390000013
2025-06-28 00:00:00+00:00,2025-06-28 00:00:00+00:00,2423.35,2423.97,2405.5,2420.9,9833.670593,,6393327.360000014
2025-06-28 04:00:00+00:00,2025-06-28 04:00:00+00:00,2420.91,2434.46,2417.53,2432.0,8544.757301,,6537026.430000016
2025-06-28 08:00:00+00:00,2025-06-28 08:00:00+00:00,2432.07,2432.5,2419.74,2427.63,7230.493325,,6453897.960000007
2025-06-28 12:00:00+00:00,2025-06-28 12:00:00+00:00,2427.64,2443.11,2420.0,2436.12,19554.027574,,6354762.390000015
2025-06-28 16:00:00+00:00,2025-06-28 16:00:00+00:00,2436.12,2448.0,2431.52,2433.35,11200.087459,,6337137.370000005
2025-06-28 20:00:00+00:00,2025-06-28 20:00:00+00:00,2433.36,2442.22,2427.42,2435.77,8270.538305,,6369135.810000007
2025-06-29 00:00:00+00:00,2025-06-29 00:00:00+00:00,2435.77,2443.08,2424.6,2427.96,7035.051738,,6320243.890000005
2025-06-29 04:00:00+00:00,2025-06-29 04:00:00+00:00,2427.96,2440.38,2426.79,2440.37,8481.465471,,6419354.320000007
2025-06-29 08:00:00+00:00,2025-06-29 08:00:00+00:00,2440.38,2463.63,2438.0,2462.1,22469.800843,,6529111.930000007
2025-06-29 12:00:00+00:00,2025-06-29 12:00:00+00:00,2462.1,2463.26,2433.13,2436.6,16058.769147,,6681856.510000012
2025-06-29 16:00:00+00:00,2025-06-29 16:00:00+00:00,2436.56,2442.76,2429.28,2438.2,7396.161223,,6556543.890000014
2025-06-29 20:00:00+00:00,2025-06-29 20:00:00+00:00,2438.19,2525.34,2411.05,2500.57,51469.693203,,6522434.740000012
2025-06-30 00:00:00+00:00,2025-06-30 00:00:00+00:00,2500.57,2524.6,2495.13,2499.64,30680.465614,,6387988.4200000055
2025-06-30 04:00:00+00:00,2025-06-30 04:00:00+00:00,2499.65,2505.8,2456.0,2480.87,33363.223678,,6712806.240000005
