date,datetime,open,high,low,close,volume
2024-08-10 16:00:00+00:00,2024-08-10 16:00:00+00:00,60523.9,61885.7,59936.3,60127.9,4473.23302688
2024-08-11 16:00:00+00:00,2024-08-11 16:00:00+00:00,60128.0,60692.8,57592.9,60207.2,12203.69028715
2024-08-12 16:00:00+00:00,2024-08-12 16:00:00+00:00,60204.0,60409.1,58398.1,59480.1,7438.92094682
2024-08-13 16:00:00+00:00,2024-08-13 16:00:00+00:00,59480.1,61839.8,58817.2,59443.8,10339.75429085
2024-08-14 16:00:00+00:00,2024-08-14 16:00:00+00:00,59443.8,59774.0,57718.1,59675.8,8163.04134558
2024-08-15 16:00:00+00:00,2024-08-15 16:00:00+00:00,59676.0,59850.0,56093.7,58074.1,11344.38939645
2024-08-16 16:00:00+00:00,2024-08-16 16:00:00+00:00,58068.1,59821.0,57994.0,59394.3,5005.79557338
2024-08-17 16:00:00+00:00,2024-08-17 16:00:00+00:00,59394.3,60288.4,59147.8,59863.4,4034.7571222
2024-08-18 16:00:00+00:00,2024-08-18 16:00:00+00:00,59867.7,59950.0,57800.0,58540.0,5276.97615056
2024-08-19 16:00:00+00:00,2024-08-19 16:00:00+00:00,58538.5,61419.6,58373.9,58831.4,10300.20771481
2024-08-20 16:00:00+00:00,2024-08-20 16:00:00+00:00,58823.4,60200.0,58541.2,59518.7,6292.9018007
2024-08-21 16:00:00+00:00,2024-08-21 16:00:00+00:00,59522.0,61832.3,59372.0,60407.1,9407.66438694
2024-08-22 16:00:00+00:00,2024-08-22 16:00:00+00:00,60404.0,62325.6,60128.1,61534.0,7517.55736165
2024-08-23 16:00:00+00:00,2024-08-23 16:00:00+00:00,61535.2,65000.0,61343.1,63984.1,11634.26606711
2024-08-24 16:00:00+00:00,2024-08-24 16:00:00+00:00,63987.8,64660.0,63513.7,64133.5,4350.11132899
2024-08-25 16:00:00+00:00,2024-08-25 16:00:00+00:00,64132.1,65010.2,63065.5,63534.0,5862.93436671
2024-08-26 16:00:00+00:00,2024-08-26 16:00:00+00:00,63532.6,63890.8,61445.1,61704.0,7518.03470407
2024-08-27 16:00:00+00:00,2024-08-27 16:00:00+00:00,61699.1,62199.9,58000.0,59002.4,12145.65443988
2024-08-28 16:00:00+00:00,2024-08-28 16:00:00+00:00,59003.6,61186.4,57825.1,60777.4,8382.5128372
2024-08-29 16:00:00+00:00,2024-08-29 16:00:00+00:00,60776.3,60959.2,57936.5,58088.0,8280.81454699
2024-08-30 16:00:00+00:00,2024-08-30 16:00:00+00:00,58093.1,59461.5,57650.0,59013.8,3134.58179205
2024-08-31 16:00:00+00:00,2024-08-31 16:00:00+00:00,59013.8,59144.5,57168.5,58214.1,4937.69290326
2024-09-01 16:00:00+00:00,2024-09-01 16:00:00+00:00,58214.1,58817.4,57116.2,58535.7,6676.28043791
2024-09-02 16:00:00+00:00,2024-09-02 16:00:00+00:00,58536.0,59817.0,57562.1,57724.0,5193.54115148
2024-09-03 16:00:00+00:00,2024-09-03 16:00:00+00:00,57721.5,58251.4,55568.0,58128.7,9349.01498604
2024-09-04 16:00:00+00:00,2024-09-04 16:00:00+00:00,58128.2,58522.1,55809.6,55976.1,8947.42912165
2024-09-05 16:00:00+00:00,2024-09-05 16:00:00+00:00,55979.5,57054.8,53805.4,54044.0,11668.221536
2024-09-06 16:00:00+00:00,2024-09-06 16:00:00+00:00,54044.1,54832.0,52528.6,54784.1,10275.03300045
2024-09-07 16:00:00+00:00,2024-09-07 16:00:00+00:00,54784.1,54853.0,53646.1,53687.9,4125.42918681
2024-09-08 16:00:00+00:00,2024-09-08 16:00:00+00:00,53686.9,55805.2,53626.2,55383.9,8159.423859
2024-09-09 16:00:00+00:00,2024-09-09 16:00:00+00:00,55384.0,58135.0,55344.0,56592.2,11068.38773889
2024-09-10 16:00:00+00:00,2024-09-10 16:00:00+00:00,56592.2,58045.8,55555.0,56700.4,9286.68890273
2024-09-11 16:00:00+00:00,2024-09-11 16:00:00+00:00,56700.0,58588.8,56645.5,57514.2,8516.18263678
2024-09-12 16:00:00+00:00,2024-09-12 16:00:00+00:00,57512.0,59717.0,57494.2,59660.1,5926.76694074
2024-09-13 16:00:00+00:00,2024-09-13 16:00:00+00:00,59658.1,60644.7,59312.1,59875.3,7071.05901487
2024-09-14 16:00:00+00:00,2024-09-14 16:00:00+00:00,59875.3,60407.3,59355.9,60334.2,2576.78804612
2024-09-15 16:00:00+00:00,2024-09-15 16:00:00+00:00,60334.2,60354.0,57565.3,57881.8,7563.84579034
2024-09-16 16:00:00+00:00,2024-09-16 16:00:00+00:00,57881.6,61343.1,57431.1,61134.0,9889.87655489
2024-09-17 16:00:00+00:00,2024-09-17 16:00:00+00:00,61133.4,61268.0,59312.1,59430.0,7476.11010876
